AgentID,X,Y,Type,Status,PopDensity,TempC,Rain_mm
0d952e4e-30e4-46f9-a94f-fc8eeebf7834,38.356092,8.598023,ADULT,true,2.54,25.00,0.0000
cde9788b-7704-4cc3-8ab2-c335562058d3,38.295594,8.579455,ADULT,true,1.91,25.00,0.0000
a7a6f25e-4d07-44f7-a9c3-1032a38b259c,38.284598,8.639647,ADULT,true,5.25,25.00,0.0000
f365c35e-a89d-4cc6-ae32-8bfc7d2716ae,38.353520,8.666003,ADULT,true,2.52,25.00,0.0000
d3436bfa-0daa-49ac-b20d-a4001a4cbe0b,38.354348,8.605953,ADULT,true,4.51,25.00,0.0000
3aa9799c-c3da-4622-b8b9-0f407536533c,38.370260,8.634672,ADULT,true,1.79,25.00,0.0000
2dcdafed-c0a4-406e-8643-d714e33544b0,38.284056,8.612100,ADULT,true,4.09,25.00,0.0000
c4fd99ec-51e1-45b5-a5ef-c8a49fc79a74,38.292615,8.645349,ADULT,true,3.16,25.00,0.0000
f688c93f-d533-44bd-8122-71c2c6985994,38.291876,8.646414,ADULT,true,4.11,25.00,0.0000
a075ac48-10e0-423a-9e40-cf90d5f93bac,38.372394,8.603229,ADULT,true,2.01,25.00,0.0000
104899aa-9da8-4ca7-bdec-dcb88a5594c6,38.300257,8.633747,ADULT,true,2.92,25.00,0.0000
2670d1a4-bb7f-44fd-90e7-ecc19dc5e99c,38.368926,8.593021,ADULT,true,1.51,25.00,0.0000
eca6a6a9-22f6-4ffe-a0c8-754343ba5edd,38.373608,8.636449,ADULT,true,2.00,25.00,0.0000
d2bfabdf-7e1f-44c4-98e4-c5f68d22950c,38.308225,8.641613,ADULT,true,1.77,25.00,0.0000
45ba6ff8-b07d-4091-ae9b-17909545eff1,38.378195,8.605081,ADULT,true,0.96,25.00,0.0000
28c25f04-321d-4d7a-85fe-e694599a3f77,38.282544,8.576403,ADULT,true,1.90,25.00,0.0000
e79137d3-8235-416c-bf75-51900ee76345,38.318226,8.630499,ADULT,true,3.63,25.00,0.0000
e33214a4-5167-4f71-a4e4-75267f039c37,38.310516,8.661216,ADULT,true,1.63,25.00,0.0000
30696952-c68f-4528-9632-bc18fd13e140,38.282698,8.592046,ADULT,true,1.60,25.00,0.0000
5296225c-aaa6-4bb8-bcdf-ea94efe6956b,38.332410,8.627756,ADULT,true,7.82,25.00,0.0000
98c915b6-7b2b-4dca-8efc-c5cd32cdd3cc,38.346402,8.666627,ADULT,true,9.23,25.00,0.0000
da16a046-1b87-40e8-8d72-4d2a7876b410,38.356110,8.627492,ADULT,true,4.49,25.00,0.0000
94b09a0a-e442-4d96-90c6-ffdc014c31a6,38.377125,8.603412,ADULT,true,0.99,25.00,0.0000
ab01c76b-f722-4035-a717-326881f01d01,38.311004,8.608559,ADULT,true,1.69,25.00,0.0000
ebe507df-83fc-4278-994f-9c0c00c6501c,38.306388,8.664419,ADULT,true,2.67,25.00,0.0000
c8881fab-9772-4ce0-9338-0de1e7f3de3b,38.348330,8.599994,ADULT,true,5.61,25.00,0.0000
d8f61ab9-aad8-420b-81ad-81385a0e420b,38.337864,8.628711,ADULT,true,19.50,25.00,0.0000
7947490e-bec3-4260-a06d-2b56cecc0c4f,38.359336,8.612124,ADULT,true,2.80,25.00,0.0000
b2c43198-934a-4e62-8dbb-31728fee9a19,38.347216,8.651681,ADULT,true,2.16,25.00,0.0000
cf2187ea-9728-4552-82ce-f87b394e1b10,38.357575,8.633140,ADULT,true,3.53,25.00,0.0000
fb303207-93a5-4e33-b102-9951e91e800d,38.315345,8.666314,ADULT,true,1.31,25.00,0.0000
8b16a634-5b03-4d18-9ec4-154ae7b55021,38.327661,8.621396,ADULT,true,3.35,25.00,0.0000
36cae894-6b92-4d6e-9ab7-46b57d1eb340,38.344497,8.663577,ADULT,true,9.16,25.00,0.0000
d9f314db-1324-4a8c-b565-20608471e89a,38.280098,8.653569,ADULT,true,3.52,25.00,0.0000
bfc4842e-3490-4796-a972-7c2035a41c97,38.322625,8.588109,ADULT,true,1.40,25.00,0.0000
5526b571-a1c3-4ee7-93b9-3325d6381e61,38.353403,8.598183,ADULT,true,2.89,25.00,0.0000
55f8643c-7140-4082-bb5e-21f2e6cdb1da,38.353259,8.626326,ADULT,true,6.87,25.00,0.0000
0cb3c8f3-c350-48fa-9e2c-7f6b75142f17,38.315137,8.626721,ADULT,true,3.10,25.00,0.0000
703622e5-37d8-43ec-b5d0-3fd9ef7f07f8,38.285702,8.671324,ADULT,true,2.23,25.00,0.0000
728ab365-0614-44fa-b908-99bf1acd2d28,38.354856,8.585738,ADULT,true,2.85,25.00,0.0000
17eb6f97-5d29-4a81-9a2a-85798b6ecc12,38.285600,8.585978,ADULT,true,2.39,25.00,0.0000
928a7234-c97a-4fee-9e4b-0b7bd98ce8aa,38.358325,8.588114,ADULT,true,2.06,25.00,0.0000
7cf30c3c-028a-4266-930a-b4f36c13168b,38.336028,8.630864,ADULT,true,14.65,25.00,0.0000
3aeb7c3e-2644-4c2c-8fdd-147c485894f7,38.348617,8.630198,ADULT,true,10.02,25.00,0.0000
7252075a-4ad5-4f4f-b762-401ac5d4309e,38.288762,8.646617,ADULT,true,6.09,25.00,0.0000
2437d8af-5773-4b72-bfed-c03b5166d573,38.331797,8.659648,ADULT,true,4.26,25.00,0.0000
f6f7cf9a-71be-49f3-b706-34f60880f17d,38.359830,8.604306,ADULT,true,2.57,25.00,0.0000
ea1e0511-1c75-4b15-acd5-0b0a72081585,38.290971,8.606280,ADULT,true,2.49,25.00,0.0000
ae9a67e4-7154-4ee2-88da-1e31737cd77c,38.346375,8.660092,ADULT,true,8.47,25.00,0.0000
a973f1d6-fc38-48fb-9550-0afc95d4140d,38.375129,8.635100,ADULT,true,1.97,25.00,0.0000
4730a541-1b09-4182-9e78-adecdb8ec64f,38.307375,8.653665,ADULT,true,2.59,25.00,0.0000
49a478cf-4523-403f-b7a4-75d65081bb26,38.352092,8.592059,ADULT,true,3.12,25.00,0.0000
49d18f5d-acc4-4566-969e-dcee2c0b3de4,38.285780,8.618465,ADULT,true,2.99,25.00,0.0000
79e9fb92-de82-47fd-8196-302547643041,38.342307,8.645158,ADULT,true,3.84,25.00,0.0000
0ae06d48-5f17-44ef-9585-99a4bba6fab5,38.313414,8.608379,ADULT,true,1.73,25.00,0.0000
e8b326dd-8fbe-4a00-ab0a-860dadff72ff,38.323903,8.657509,ADULT,true,2.56,25.00,0.0000
305d64cb-abf8-47c7-804e-0342f02779f8,38.342421,8.616160,ADULT,true,26.30,25.00,0.0000
75f497d6-08ad-4087-bc2a-3f8a938ce848,38.337278,8.576438,ADULT,true,5.89,25.00,0.0000
027a3a28-de54-4218-a380-b5c1aa351663,38.323218,8.620528,ADULT,true,2.63,25.00,0.0000
24166544-b0d7-451d-abff-e6bc3bde590e,38.351645,8.675362,ADULT,true,2.78,25.00,0.0000
0662f304-69d6-4cec-9bec-d32a974216dc,38.338889,8.654336,ADULT,true,3.80,25.00,0.0000
a1cae839-e7bc-4b77-8c1a-54c52f04465a,38.367449,8.657760,ADULT,true,1.20,25.00,0.0000
1423c278-6665-4528-9282-da7095bc5e64,38.361224,8.659916,ADULT,true,1.37,25.00,0.0000
ed98aaa2-e118-42fb-a39c-1628de03c7c7,38.348782,8.617087,ADULT,true,9.91,25.00,0.0000
3751f0c6-5b7e-43ce-8b6a-f5dd0773904f,38.283401,8.608678,ADULT,true,4.95,25.00,0.0000
4943d52b-40dd-44e1-8374-432a15476799,38.301754,8.624328,ADULT,true,3.42,25.00,0.0000
