AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
32fbb2a0-d092-4ca2-93f5-4cfa8b141f4d,Mosquitoes,LivingAgent,38.321456,8.593408,true,402,ADULT,0.707,false,2498.0000,0.0000,1.58,0.3273,20.72,2,0
dffdc302-ce08-4c4d-8477-09c8fe9bca41,Mosquitoes,LivingAgent,38.376380,8.665585,true,840,ADULT,0.858,false,2606.0000,0.0000,1.03,0.3965,21.24,6,0
ff221b89-13db-496b-a0f8-3d785e88a5a7,Mosquitoes,LivingAgent,38.344273,8.599764,true,701,ADULT,0.616,false,2557.0000,2.0000,8.78,0.2944,19.48,7,0
b8db9cfa-b4cf-4aa3-bbc5-b6277ce1b37f,Mosquitoes,LivingAgent,38.328660,8.669539,true,655,ADULT,0.990,true,2488.0000,0.0000,3.34,0.4107,20.83,7,0
8da3b419-6aab-4b6f-89fc-0521c77d5fae,Mosquitoes,LivingAgent,38.331987,8.656967,true,832,ADULT,0.863,false,2592.0000,4.0000,6.39,0.3965,20.94,5,0
f822fa8d-7216-440d-b261-e74e86205ddd,Mosquitoes,LivingAgent,38.309108,8.628231,true,592,ADULT,0.588,false,2579.0000,1.0000,2.60,0.4107,20.83,5,0
681202a5-6394-4461-8f01-cdad81167cf0,Mosquitoes,LivingAgent,38.342615,8.595572,true,380,ADULT,0.728,false,2553.0000,6.0000,5.24,0.2944,19.48,2,0
80632ef0-e2f4-4630-a80a-573c2532b4ad,Mosquitoes,LivingAgent,38.340912,8.650807,true,664,ADULT,0.999,false,2557.0000,0.0000,3.17,0.3965,20.94,4,0
d1b2f8c3-1891-446a-94fe-6e443793addb,Mosquitoes,LivingAgent,38.321346,8.617185,true,722,ADULT,0.714,true,2607.0000,0.0000,2.18,0.3274,20.42,4,0
656be248-18c3-494f-8ed8-c20c0a60f769,Mosquitoes,LivingAgent,38.307302,8.615859,true,564,ADULT,0.549,true,2666.0000,0.0000,2.09,0.3276,20.12,6,0
6ae98419-88a9-48bd-b052-dd4d7dc5d09d,Mosquitoes,LivingAgent,38.321081,8.596490,true,356,ADULT,0.741,false,2505.0000,0.0000,1.61,0.3276,20.12,6,0
144a2329-728a-482c-98d2-0831213969c7,Mosquitoes,LivingAgent,38.289417,8.646989,true,417,ADULT,0.790,false,2467.0000,0.0000,5.44,0.4113,20.24,10,0
ce684d6b-6ea8-49df-a2c8-a0251449cb96,Mosquitoes,LivingAgent,38.354837,8.675422,true,652,ADULT,0.643,false,2622.0000,0.0000,2.12,0.3965,18.64,4,0
b15d0500-ace6-4e2a-a02a-32a5e82f1422,Mosquitoes,LivingAgent,38.371595,8.657385,true,750,ADULT,0.697,false,2563.0000,0.0000,1.23,0.3965,18.64,5,0
8586a61d-7fbc-46a2-86d5-75706ca5b4a1,Mosquitoes,LivingAgent,38.353295,8.590609,true,439,ADULT,0.671,false,2318.0000,1.0000,3.00,0.2944,16.94,9,0
e4e57276-97b4-4e7e-9603-7d538d1b2696,Mosquitoes,LivingAgent,38.334422,8.647607,true,437,ADULT,0.651,false,2575.0000,0.0000,6.82,0.3965,17.04,8,0
abfa1642-9aa8-4627-a3d2-657e7815a464,Mosquitoes,LivingAgent,38.354748,8.646317,true,430,ADULT,0.609,true,2505.0000,0.0000,1.60,0.3965,16.51,4,0
5c789e2a-1f78-4b69-b8ea-f74df8261e2d,Mosquitoes,LivingAgent,38.307272,8.655606,true,642,ADULT,0.812,false,2452.0000,0.0000,2.46,0.4113,16.30,6,0
b7bef66f-381c-44ab-92d6-3737ebe54fc5,Mosquitoes,LivingAgent,38.317172,8.579031,true,640,ADULT,0.717,false,2511.0000,0.0000,1.00,0.3283,15.61,4,0
453658d6-f0d0-4779-ae4b-c0641ca2b4a7,Mosquitoes,LivingAgent,38.343473,8.665460,true,448,ADULT,0.908,false,2626.0000,5.0000,9.27,0.3965,15.82,6,0
0aa581be-29a7-4ec3-a78d-1f3b383d19b0,Mosquitoes,LivingAgent,38.379864,8.659051,true,735,ADULT,0.640,true,2676.0000,0.0000,1.04,0.3965,15.49,4,0
0fc4a769-bbc8-4514-ae3f-5da626faf04e,Mosquitoes,LivingAgent,38.280830,8.668258,true,480,ADULT,0.765,false,2530.0000,4.0000,1.73,0.4113,15.57,7,0
695c18a1-1a78-4c5f-9243-0e9e214c15f4,Mosquitoes,LivingAgent,38.371174,8.619855,true,451,ADULT,0.926,false,2235.0000,0.0000,1.76,0.2944,13.95,1,0
4058bd9d-5081-4a81-9968-71da9ca005d3,Mosquitoes,LivingAgent,38.349331,8.669664,true,721,ADULT,0.617,false,2674.0000,0.0000,5.10,0.3965,15.29,6,0
63de5cd5-6bba-4837-9946-60fac56aef6a,Mosquitoes,LivingAgent,38.379754,8.634614,true,509,ADULT,0.821,true,2617.0000,0.0000,1.93,0.3965,15.19,1,0
41f05c8d-8622-48d5-8b0a-8a276463cc3b,Mosquitoes,LivingAgent,38.325902,8.671548,true,718,ADULT,0.518,true,2475.0000,0.0000,2.27,0.4113,15.53,4,0
0ab199ec-f558-4ee6-bfe6-db14b050dab8,Mosquitoes,LivingAgent,38.349774,8.623788,true,542,ADULT,0.906,false,2528.0000,1.0000,9.64,0.2944,13.78,4,0
a8181dbc-f123-4c25-b9d2-f74dae2ff82d,Mosquitoes,LivingAgent,38.288176,8.585432,true,386,ADULT,0.703,false,2514.0000,0.0000,2.27,0.3295,14.39,7,0
d5d24aec-0801-4735-a7b9-b0fb15991da6,Mosquitoes,LivingAgent,38.365313,8.650325,true,546,ADULT,0.975,false,2505.0000,0.0000,1.33,0.3965,15.19,7,0
3142f1e6-9676-4393-bbb7-a65475e91244,Mosquitoes,LivingAgent,38.336429,8.623047,true,671,ADULT,0.709,false,2565.0000,8.0000,10.88,0.2946,13.71,4,0
d6c686fa-b8fd-4620-9d83-4d0be7536825,Mosquitoes,LivingAgent,38.366898,8.669750,true,850,ADULT,0.748,false,2539.0000,0.0000,1.12,0.3967,15.23,6,0
9892c3c8-b21b-4fa8-afbb-c949de8dde76,Mosquitoes,LivingAgent,38.289817,8.625161,true,431,ADULT,0.746,false,2515.0000,0.0000,3.35,0.3304,14.35,7,0
77c2b658-2dec-4875-a7a7-0f222c8d53ee,Mosquitoes,LivingAgent,38.366211,8.606759,true,535,ADULT,0.507,true,2116.0000,0.0000,2.15,0.2946,13.71,5,0
ac784803-26ee-47da-b989-f4e935a6da12,Mosquitoes,LivingAgent,38.290162,8.593746,true,591,ADULT,0.973,false,2519.0000,0.0000,1.56,0.3304,14.35,2,0
e8fe46ea-fe85-4ee3-8b1e-92ad28e17378,Mosquitoes,LivingAgent,38.305473,8.673095,true,763,ADULT,0.502,true,2458.0000,0.0000,2.83,0.4115,15.61,2,0
12be149a-31a2-4e1e-8111-cffc8bc7048e,Mosquitoes,LivingAgent,38.305398,8.664126,true,528,ADULT,0.860,true,2454.0000,0.0000,2.66,0.4115,15.61,4,0
ddc2965d-8933-40d0-9d9d-407300177cb3,Mosquitoes,LivingAgent,38.336742,8.640392,true,522,ADULT,0.612,true,2578.0000,0.0000,12.49,0.3969,15.28,3,0
4dedd5d8-dcad-4bcc-86ec-5d160f98ada7,Mosquitoes,LivingAgent,38.316512,8.641999,true,679,ADULT,0.541,false,2528.0000,0.0000,2.38,0.4117,15.69,8,0
812a46b9-e9c6-4c35-bee2-31686d97ece2,Mosquitoes,LivingAgent,38.300568,8.622148,true,789,ADULT,0.621,false,2579.0000,0.0000,3.38,0.3313,14.32,5,0
b8e7bd65-3f3c-4d60-a5d1-c611083d94ca,Mosquitoes,LivingAgent,38.333941,8.601213,true,413,ADULT,0.590,false,2560.0000,0.0000,5.21,0.2948,13.65,7,0
9322f7dc-9037-464e-b51f-82ee5838e71f,Mosquitoes,LivingAgent,38.373681,8.665656,true,560,ADULT,0.714,false,2566.0000,0.0000,1.03,0.3971,15.32,3,0
0e489b5b-1f4f-4808-8628-ffdaff38d64a,Mosquitoes,LivingAgent,38.303811,8.608308,true,724,ADULT,0.720,false,2636.0000,0.0000,1.83,0.3323,14.28,2,0
26b03ddc-99d4-4a27-8641-a106efce44e2,Mosquitoes,LivingAgent,38.366491,8.643239,true,491,ADULT,0.961,false,2554.0000,3.0000,1.40,0.3971,15.32,3,0
b5869f1b-c672-49f3-80ef-06e73d8d2188,Mosquitoes,LivingAgent,38.335791,8.617389,true,677,ADULT,0.766,false,2538.0000,0.0000,8.58,0.2950,13.58,4,0
840c2f08-4f0d-4c97-8999-54a25e266a94,Mosquitoes,LivingAgent,38.348931,8.618214,true,776,ADULT,0.565,true,2497.0000,0.0000,9.86,0.2952,13.52,3,0
3f6fa2f9-db18-449e-a214-053ad1ac1411,Mosquitoes,LivingAgent,38.306770,8.658579,true,795,ADULT,0.569,false,2453.0000,0.0000,2.51,0.4122,15.86,3,0
cdeffb73-106a-46e9-ad2e-f1dcaf646a14,Mosquitoes,LivingAgent,38.290749,8.668066,true,386,ADULT,0.982,false,2545.0000,0.0000,2.72,0.4122,15.71,5,0
631743e8-523b-4420-bf02-5c4f21ca0809,Mosquitoes,LivingAgent,38.347537,8.588080,true,757,ADULT,0.652,false,2522.0000,2.0000,9.02,0.2952,13.16,4,0
bf3dc6d4-9fc7-4093-83e1-4e768fe4dd70,Mosquitoes,LivingAgent,38.354133,8.598067,true,600,ADULT,0.822,true,2304.0000,0.0000,2.78,0.2952,13.16,2,0
d3524a68-859d-4e31-82f1-3c43b29a858d,Mosquitoes,LivingAgent,38.336035,8.645095,true,663,ADULT,0.659,true,2574.0000,0.0000,8.35,0.3974,15.26,8,0
59f9c63e-53e9-4c61-a9ab-6989770a67f2,Mosquitoes,LivingAgent,38.283816,8.646349,true,517,ADULT,0.526,true,2490.0000,7.0000,7.08,0.4122,15.09,3,0
97f0fd36-5af9-4541-aec4-d44ffbbd3251,Mosquitoes,LivingAgent,38.356401,8.646810,true,401,ADULT,0.581,true,2487.0000,1.0000,1.45,0.3974,14.95,2,0
f91ef1d0-34b6-4b2e-bc63-2fe2c11cec66,Mosquitoes,LivingAgent,38.343934,8.579637,true,575,ADULT,0.792,true,2526.0000,1.0000,14.36,0.2952,12.57,3,0
1cb8d5a7-0d1e-4f99-8a5c-c535446095ed,Mosquitoes,LivingAgent,38.348140,8.601300,true,830,ADULT,0.540,false,2579.0000,0.0000,7.04,0.2952,12.44,7,0
